track_id,duration,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,release_year
7dt6x5M1jzdTEt8oCbisTK,231266,81,0.68,0.578,10,-5.804,1,0.04,0.331,0.0,0.135,0.341,145.038,3.854433333333333,2018
3swc6WTsr7rl9DqQKQA55C,221440,78,0.75,0.56,8,-8.094,1,0.105,0.546,0.0,0.111,0.459,140.06,3.6906666666666665,2018
6eT7xZZlB2mwyzJ2sUKG6w,256533,77,0.675,0.562,7,-7.678,1,0.0352,0.233,0.0,0.0816,0.309,130.098,4.27555,2016
7xQAfvXzm3AkraOtGPWIZg,149546,82,0.829,0.539,11,-7.359,0,0.208,0.136,1.78e-06,0.103,0.388,99.96,2.4924333333333335,2019
75ZvA4QfFiZvzhj2xkaWAh,223346,79,0.556,0.538,8,-5.408,0,0.0382,0.0689,0.0,0.196,0.291,143.95,3.7224333333333335,2016
7CZyCXKG6d5ALeq41sLzbw,229573,75,0.499,0.8,1,-2.665,0,0.0502,0.0906,0.0,0.147,0.272,139.919,3.826216666666667,2019
5yuShbu70mtHXY0yLzCQLQ,179613,78,0.665,0.498,5,-8.185,1,0.0832,0.228,0.0,0.0757,0.127,81.967,2.99355,2016
05mDaV9Vb3wrzjF6OPZnhq,150866,73,0.617,0.684,0,-3.618,1,0.0439,0.0545,0.0,0.104,0.295,132.113,2.5144333333333333,2019
32lItqlMi4LBhb4k0BaSaC,227533,76,0.664,0.667,4,-5.941,1,0.154,0.64,1.22e-06,0.0753,0.381,180.064,3.7922166666666666,2018
2C6WXnmZ66tHhHlnvwePiK,245266,71,0.614,0.66,0,-2.848,1,0.0441,0.19,0.0,0.211,0.452,145.01,4.087766666666667,2019
7sWRlDoTDX8geTR8zzr2vt,156266,77,0.405,0.646,4,-3.206,0,0.0476,0.331,0.0,0.103,0.17,130.218,2.604433333333333,2019
4SYUUlkScpNR1QvPscXf8t,237146,64,0.602,0.635,4,-6.526,0,0.052,0.271,3.2e-05,0.0829,0.225,123.05,3.9524333333333335,2016
12Fkyg9lpmaz2zmKOfw2Y2,218320,69,0.442,0.737,7,-5.046,1,0.109,0.0589,0.0,0.102,0.21,112.93,3.6386666666666665,2019
3fpVWegR6YOS1Yk5HSMYIq,221786,67,0.625,0.536,0,-5.428,1,0.0776,0.038,2.31e-05,0.167,0.253,159.914,3.6964333333333332,2018
6IaieqiCVvsNvEt6Y7yOFa,206266,68,0.797,0.55,9,-4.166,1,0.24,0.513,0.0,0.0786,0.543,134.206,3.4377666666666666,2018
3QGsuHI8jO1Rx4JWLUh9jd,187973,85,0.444,0.819,10,-4.078,0,0.341,0.106,0.0,0.107,0.747,82.695,3.1328833333333335,2017
3zkWCteF82vJwv0hRLba76,206880,81,0.746,0.754,1,-6.684,1,0.0676,0.0152,0.0,0.0486,0.746,149.882,3.448,2015
2bT1PH7Cw3J9p3t7nlXCdh,191466,73,0.691,0.823,2,-4.197,1,0.0623,0.487,0.0,0.134,0.87,123.935,3.1911,2019
21TcDbGosp7w9YhTjOszgA,217773,75,0.64,0.455,0,-5.942,1,0.0247,0.0743,0.0,0.0694,0.333,89.948,3.62955,2015
0AS63m1wHv9n4VVRizK6Hc,208733,82,0.555,0.662,11,-4.952,0,0.0827,0.125,0.0,0.111,0.356,148.128,3.4788833333333335,2017
2GyA33q5rti5IxkMQemRDH,223853,72,0.687,0.761,9,-4.582,0,0.0876,0.102,0.0,0.147,0.743,113.939,3.7308833333333333,2015
79esEXlqqmq0GPz0xQSZTV,201200,72,0.713,0.738,10,-6.784,1,0.374,0.255,0.0,0.106,0.425,105.027,3.3533333333333335,2018
