track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,playlist_id,playlist_name,release_year
1r299qCKBLgUS9XJ9m1kEx,Moves Like Jagger,04gDigrS5kc9YWfZHwBETP,Maroon 5,5NdkVAsSvgUfe3cD8LwSTD,202640,2015-09-25,69,0.72,0.751,11,-4.484,0,0.0462,0.0113,0.0,0.353,0.599,128.017,3.3773333333333335,56uBMvAujYa1ZLSqkYk6hg,final,2015
6ECp64rv50XVz93WvxXMGF,This Love,04gDigrS5kc9YWfZHwBETP,Maroon 5,5zClcGCSWj926AMjvBNSLc,206200,2002,80,0.712,0.862,5,-4.612,0,0.0378,0.0525,0.0,0.093,0.809,95.051,3.4366666666666665,56uBMvAujYa1ZLSqkYk6hg,final,2002
3T9CfDxFYqZWSKxd0BhZrb,Wait,04gDigrS5kc9YWfZHwBETP,Maroon 5,1Li4rADxSxjT2g4xqUcMYh,190642,2018-06-15,63,0.655,0.603,8,-5.014,1,0.0555,0.0959,0.0,0.107,0.452,126.088,3.1773666666666665,56uBMvAujYa1ZLSqkYk6hg,final,2018
0RZyUsKfiC7MtiGKatCtGc,Misery,04gDigrS5kc9YWfZHwBETP,Maroon 5,1snrPQMoTrBsKl73wzSxbn,216200,2010,66,0.703,0.81,4,-4.874,0,0.0424,0.000315,0.0,0.216,0.726,102.978,3.6033333333333335,56uBMvAujYa1ZLSqkYk6hg,final,2010
4rpzPAbwJboZQw2p9T5T3f,Lucky Strike,04gDigrS5kc9YWfZHwBETP,Maroon 5,6ijGiBcBfUwkoyHn5VUHU2,185293,2012-01-01,60,0.673,0.746,11,-4.514,0,0.0424,0.000607,0.0,0.0988,0.446,144.013,3.088216666666667,56uBMvAujYa1ZLSqkYk6hg,final,2012
6WEBwvsmpaoGxka0tSh5a7,Won't Go Home Without You,04gDigrS5kc9YWfZHwBETP,Maroon 5,2RUHJZ3raiIDsR3yX4JXf5,231173,2007-01-01,73,0.737,0.615,3,-3.76,1,0.0317,0.0149,0.0,0.102,0.41,110.023,3.852883333333333,56uBMvAujYa1ZLSqkYk6hg,final,2007
5H0ajL4EHsrcAEGESo2Lzx,Love Somebody,04gDigrS5kc9YWfZHwBETP,Maroon 5,6ijGiBcBfUwkoyHn5VUHU2,229973,2012-01-01,62,0.675,0.783,1,-6.284,1,0.0365,0.134,0.0,0.122,0.4,120.018,3.832883333333333,56uBMvAujYa1ZLSqkYk6hg,final,2012
3PNOYDruQplC92lNc7mE9W,Makes Me Wonder,04gDigrS5kc9YWfZHwBETP,Maroon 5,2RUHJZ3raiIDsR3yX4JXf5,211080,2007-01-01,63,0.803,0.851,7,-2.429,1,0.0357,0.00485,0.000358,0.0577,0.881,113.996,3.518,56uBMvAujYa1ZLSqkYk6hg,final,2007
3MEYFivt6bilQ9q9mFWZ4g,Alone,64KEffDW9EtZ1y2vBYgq8T,Marshmello,7ePC9qS9mSOTY9E0YPP6yg,273802,2016-05-13,72,0.631,0.953,2,-3.739,1,0.0343,0.0241,0.0155,0.108,0.422,141.99,4.563366666666667,56uBMvAujYa1ZLSqkYk6hg,final,2016
6GRMKQ3RrivYgLEO6h7ebu,Stars,64KEffDW9EtZ1y2vBYgq8T,Marshmello,0xi4cOWPUHjctyYU8ypCOB,246760,2018-06-22,53,0.507,0.96,8,-2.619,1,0.0394,0.0132,0.971,0.0703,0.801,142.029,4.112666666666667,56uBMvAujYa1ZLSqkYk6hg,final,2018
